xIris,yIris,R,G,B
-0.317,2.765,0.000,0.000,255.000
0.182,2.371,0.000,0.000,255.000
1.244,3.340,0.000,0.000,255.000
-0.395,2.732,0.000,0.000,255.000
0.856,4.184,0.000,0.000,255.000
1.297,2.636,0.000,0.000,255.000
-0.017,2.279,0.000,0.000,255.000
0.154,3.633,0.000,0.000,255.000
0.291,3.002,0.000,0.000,255.000
0.139,2.872,0.000,0.000,255.000
1.178,3.943,0.000,0.000,255.000
-0.321,1.622,0.000,0.000,255.000
0.981,3.938,0.000,0.000,255.000
-0.062,2.939,0.000,0.000,255.000
1.166,3.977,0.000,0.000,255.000
-0.356,1.841,0.000,0.000,255.000
0.030,3.017,0.000,0.000,255.000
1.396,4.370,0.000,0.000,255.000
1.339,4.326,0.000,0.000,255.000
0.996,3.344,0.000,0.000,255.000
-0.139,3.112,0.000,0.000,255.000
-0.393,2.608,0.000,0.000,255.000
0.127,3.187,0.000,0.000,255.000
1.308,3.248,0.000,0.000,255.000
1.228,3.998,0.000,0.000,255.000
1.030,3.627,0.000,0.000,255.000
-0.130,2.794,0.000,0.000,255.000
1.257,3.325,0.000,0.000,255.000
0.667,3.133,0.000,0.000,255.000
1.784,3.077,0.000,0.000,255.000
-0.166,4.252,0.000,0.000,255.000
0.607,2.693,0.000,0.000,255.000
0.818,1.686,0.000,0.000,255.000
1.347,4.297,0.000,0.000,255.000
-0.243,2.676,0.000,0.000,255.000
-0.158,3.123,0.000,0.000,255.000
0.904,2.003,0.000,0.000,255.000
1.227,3.660,0.000,0.000,255.000
0.837,2.370,0.000,0.000,255.000
1.222,2.079,0.000,0.000,255.000
1.208,3.845,0.000,0.000,255.000
