xRGB,yRGB,R,G,B
18.605,7.680,83.000,176.000,59.000
0.606,19.114,65.000,84.000,165.000
-0.299,18.820,6.000,28.000,247.000
12.981,11.040,236.000,196.000,82.000
19.367,0.190,19.000,131.000,103.000
6.781,19.134,27.000,150.000,161.000
0.660,5.877,230.000,72.000,252.000
7.936,8.950,190.000,146.000,156.000
13.054,9.002,225.000,181.000,98.000
8.664,0.019,242.000,7.000,9.000
19.139,1.078,30.000,163.000,42.000
8.669,-0.148,246.000,52.000,67.000
3.862,8.752,192.000,126.000,142.000
-0.267,3.824,189.000,70.000,145.000
0.236,19.160,57.000,34.000,252.000
2.938,-0.304,142.000,20.000,105.000
11.138,2.014,182.000,81.000,69.000
11.170,19.287,70.000,218.000,232.000
8.827,0.260,229.000,10.000,84.000
9.974,18.744,54.000,185.000,224.000
1.056,18.990,39.000,106.000,194.000
13.732,19.256,64.000,225.000,154.000
4.367,11.235,106.000,94.000,152.000
-0.347,19.231,15.000,51.000,210.000
8.995,0.024,240.000,57.000,84.000
10.027,-0.141,181.000,6.000,36.000
10.765,18.720,29.000,244.000,193.000
19.248,-0.108,23.000,92.000,38.000
17.291,10.994,242.000,173.000,186.000
10.795,19.097,65.000,218.000,223.000
18.310,1.601,138.000,94.000,88.000
10.079,18.863,2.000,225.000,155.000
6.097,10.329,129.000,130.000,127.000
-0.101,18.314,74.000,27.000,197.000
18.701,1.993,124.000,94.000,94.000
19.399,1.237,44.000,183.000,0.000
9.245,-0.382,141.000,12.000,78.000
19.156,12.792,189.000,222.000,171.000
9.927,18.114,80.000,193.000,169.000
11.881,5.897,83.000,85.000,106.000
18.957,-0.329,35.000,241.000,13.000
-0.028,18.606,22.000,6.000,126.000
17.786,12.060,194.000,159.000,164.000
18.647,-0.343,60.000,159.000,55.000
3.901,12.347,71.000,99.000,163.000
9.914,19.204,65.000,183.000,213.000
17.006,11.397,254.000,126.000,124.000
11.760,5.718,162.000,125.000,81.000
-0.141,1.119,221.000,36.000,138.000
10.175,-0.303,54.000,22.000,19.000
10.681,19.079,49.000,199.000,168.000
18.790,13.216,211.000,170.000,166.000
0.644,18.945,2.000,85.000,129.000
19.058,12.751,227.000,137.000,178.000
9.182,1.039,100.000,50.000,54.000
-0.185,1.221,243.000,50.000,158.000
12.901,10.175,153.000,119.000,168.000
-0.366,1.269,215.000,3.000,187.000
19.296,12.613,239.000,105.000,183.000
18.911,19.393,199.000,251.000,189.000
18.606,17.782,221.000,233.000,116.000
1.663,9.879,129.000,77.000,181.000
7.895,19.112,4.000,226.000,115.000
18.781,1.223,66.000,128.000,93.000
9.283,0.329,210.000,17.000,27.000
10.291,-0.207,121.000,45.000,58.000
-0.031,6.315,214.000,66.000,241.000
19.041,17.829,249.000,251.000,49.000
13.201,18.923,144.000,243.000,68.000
-0.049,16.378,77.000,77.000,126.000
19.042,10.821,249.000,148.000,158.000
0.937,19.006,49.000,103.000,180.000
-0.050,10.977,63.000,13.000,250.000
7.739,10.099,136.000,101.000,199.000
-0.332,16.045,31.000,6.000,237.000
4.400,0.092,215.000,5.000,87.000
14.657,-0.225,14.000,2.000,72.000
4.815,-0.385,216.000,58.000,36.000
4.985,-0.204,223.000,113.000,8.000
9.638,18.731,18.000,239.000,103.000
11.858,5.750,180.000,122.000,51.000
13.086,18.780,115.000,237.000,67.000
8.383,-0.235,190.000,76.000,5.000
18.744,0.264,46.000,57.000,30.000
2.306,0.277,217.000,39.000,45.000
14.829,1.737,121.000,50.000,49.000
6.741,18.874,0.000,150.000,90.000
19.346,-0.203,38.000,13.000,101.000
18.259,14.161,172.000,214.000,140.000
13.179,18.732,102.000,200.000,80.000
3.054,19.328,4.000,131.000,163.000
9.357,19.371,0.000,165.000,5.000
18.157,15.690,130.000,226.000,84.000
2.818,10.078,90.000,76.000,177.000
-0.019,6.077,220.000,58.000,153.000
10.048,10.697,95.000,172.000,156.000
18.945,10.999,206.000,231.000,132.000
10.165,13.173,81.000,240.000,216.000
18.242,19.351,154.000,180.000,55.000
18.031,18.640,192.000,164.000,28.000
19.047,8.919,164.000,179.000,116.000
0.131,8.615,173.000,17.000,161.000
11.096,9.004,212.000,173.000,212.000
4.834,2.036,198.000,66.000,124.000
5.108,0.211,254.000,128.000,55.000
8.224,19.210,74.000,207.000,138.000
3.669,14.937,66.000,155.000,215.000
-0.150,9.076,201.000,22.000,187.000
12.754,18.672,9.000,209.000,1.000
3.621,19.363,30.000,178.000,130.000
19.054,16.885,163.000,182.000,68.000
2.622,19.099,33.000,249.000,220.000
15.325,-0.356,134.000,19.000,17.000
14.956,0.183,93.000,10.000,64.000
8.803,6.775,129.000,58.000,116.000
19.058,0.126,17.000,28.000,141.000
18.804,10.916,193.000,250.000,185.000
17.659,18.871,158.000,146.000,0.000
19.290,17.383,213.000,238.000,46.000
4.794,14.677,83.000,164.000,160.000
9.981,-0.362,135.000,42.000,79.000
-0.230,8.963,105.000,12.000,218.000
19.103,3.091,116.000,84.000,107.000
12.901,18.935,64.000,147.000,41.000
13.121,19.190,42.000,171.000,14.000
19.163,11.174,223.000,218.000,85.000
18.770,11.078,222.000,254.000,114.000
13.270,18.923,39.000,232.000,6.000
0.390,8.817,173.000,72.000,229.000
19.377,10.686,246.000,230.000,131.000
4.869,-0.168,167.000,123.000,3.000
9.178,9.290,103.000,47.000,160.000
5.023,18.820,55.000,250.000,92.000
11.990,17.931,9.000,125.000,11.000
16.120,0.170,97.000,28.000,52.000
12.631,18.897,44.000,176.000,28.000
4.270,0.371,237.000,23.000,28.000
10.878,8.657,135.000,154.000,130.000
0.253,9.987,143.000,78.000,190.000
19.354,10.118,232.000,184.000,145.000
18.651,0.061,79.000,29.000,98.000
4.676,0.226,183.000,131.000,19.000
12.700,8.317,177.000,151.000,131.000
18.968,11.176,226.000,241.000,36.000
4.010,0.303,216.000,53.000,12.000
15.031,19.295,136.000,140.000,2.000
2.981,14.709,9.000,78.000,198.000
11.324,6.095,239.000,116.000,52.000
11.986,16.936,101.000,143.000,54.000
18.633,0.259,34.000,27.000,133.000
18.797,9.874,188.000,238.000,223.000
-0.078,0.237,250.000,48.000,86.000
4.329,17.845,15.000,106.000,105.000
11.336,19.346,59.000,170.000,77.000
18.705,10.397,216.000,237.000,109.000
11.930,16.345,68.000,247.000,132.000
18.842,0.288,95.000,13.000,75.000
19.184,11.133,199.000,254.000,35.000
9.836,9.119,134.000,232.000,236.000
18.907,4.904,220.000,184.000,52.000
14.934,18.213,123.000,242.000,86.000
0.103,12.238,59.000,85.000,161.000
5.094,-0.031,254.000,130.000,14.000
-0.154,9.037,130.000,20.000,245.000
11.258,7.008,216.000,207.000,101.000
3.043,1.198,229.000,78.000,87.000
4.126,10.736,160.000,148.000,207.000
-0.376,18.755,7.000,59.000,124.000
10.674,18.257,36.000,216.000,139.000
-0.155,7.864,158.000,64.000,149.000
14.637,18.991,74.000,227.000,35.000
2.369,4.029,184.000,90.000,142.000
11.322,5.936,245.000,169.000,168.000
10.270,14.978,119.000,216.000,145.000
8.175,8.745,167.000,165.000,149.000
6.125,5.874,220.000,162.000,239.000
18.870,0.218,124.000,61.000,82.000
9.958,18.727,5.000,201.000,88.000
-0.233,15.020,100.000,35.000,241.000
0.397,-0.228,225.000,66.000,93.000
0.363,18.375,54.000,55.000,242.000
18.605,12.844,129.000,235.000,67.000
13.827,-0.048,221.000,106.000,50.000
9.203,10.084,157.000,162.000,153.000
12.841,18.916,33.000,249.000,82.000
8.086,18.256,64.000,191.000,167.000
14.645,19.103,36.000,246.000,86.000
0.050,14.720,81.000,51.000,146.000
18.956,13.354,91.000,168.000,39.000
16.228,3.040,222.000,166.000,75.000
7.138,7.181,228.000,171.000,224.000
19.329,4.804,192.000,165.000,66.000
9.322,9.782,137.000,203.000,245.000
19.135,19.241,28.000,221.000,3.000
-0.372,0.232,245.000,50.000,73.000
18.659,9.022,233.000,234.000,34.000
0.255,18.271,9.000,11.000,246.000
9.260,10.873,92.000,232.000,245.000
-0.163,5.971,240.000,60.000,238.000
1.731,17.221,49.000,100.000,201.000
18.906,19.025,77.000,187.000,29.000
0.279,16.264,82.000,6.000,60.000
13.772,17.656,83.000,197.000,90.000
-0.149,6.716,186.000,62.000,139.000
4.961,19.092,16.000,134.000,178.000
8.625,11.339,92.000,225.000,248.000
-0.365,15.206,119.000,55.000,106.000
8.670,18.963,48.000,150.000,191.000
0.197,14.667,34.000,20.000,34.000
8.896,11.816,97.000,152.000,165.000
9.801,9.861,110.000,195.000,184.000
9.363,18.677,64.000,100.000,234.000
8.723,10.894,55.000,231.000,240.000
0.079,7.868,105.000,117.000,106.000
-0.379,18.134,46.000,8.000,116.000
19.274,0.030,169.000,71.000,12.000
0.089,14.612,61.000,2.000,94.000
5.932,19.323,9.000,49.000,209.000
8.044,0.715,244.000,150.000,219.000
1.296,13.331,50.000,68.000,141.000
17.024,-0.133,194.000,108.000,74.000
-0.362,0.317,251.000,26.000,115.000
19.163,18.971,71.000,253.000,2.000
18.790,19.288,2.000,133.000,0.000
7.900,6.100,147.000,169.000,186.000
10.389,8.712,150.000,195.000,239.000
-0.148,-0.171,238.000,18.000,183.000
19.397,9.121,212.000,253.000,84.000
14.399,0.122,222.000,117.000,106.000
8.316,18.705,42.000,105.000,147.000
9.762,15.380,79.000,122.000,217.000
16.171,18.614,25.000,204.000,134.000
0.232,7.382,140.000,41.000,30.000
18.013,8.977,137.000,238.000,146.000
9.992,0.289,243.000,160.000,145.000
-0.343,-0.047,208.000,59.000,92.000
19.148,3.758,220.000,160.000,20.000
8.829,3.215,200.000,83.000,240.000
16.680,8.608,178.000,189.000,135.000
18.765,19.009,95.000,233.000,31.000
0.334,7.128,206.000,31.000,82.000
17.749,0.393,196.000,108.000,90.000
-0.114,14.993,89.000,9.000,69.000
13.285,-0.057,242.000,108.000,120.000
-0.221,18.612,63.000,12.000,159.000
0.053,8.804,127.000,45.000,83.000
10.396,10.362,150.000,158.000,241.000
19.183,9.673,160.000,213.000,112.000
1.201,6.847,154.000,55.000,128.000
7.199,-0.334,240.000,46.000,196.000
0.017,15.367,72.000,45.000,43.000
6.036,19.010,8.000,67.000,114.000
18.614,-0.203,219.000,167.000,36.000
9.049,9.169,160.000,96.000,186.000
18.762,18.706,36.000,186.000,66.000
18.703,0.382,239.000,100.000,18.000
15.280,9.757,226.000,251.000,168.000
0.309,13.095,95.000,36.000,107.000
18.804,18.235,119.000,244.000,69.000
16.135,-0.023,249.000,5.000,4.000
2.907,2.136,172.000,20.000,193.000
7.325,4.839,210.000,87.000,187.000
18.828,0.650,218.000,124.000,5.000
0.084,11.181,158.000,20.000,91.000
0.315,-0.368,191.000,46.000,158.000
19.081,10.216,204.000,218.000,63.000
9.810,18.972,11.000,169.000,146.000
-0.186,11.660,158.000,58.000,47.000
9.899,18.639,1.000,134.000,70.000
18.876,0.723,194.000,116.000,37.000
7.780,0.133,233.000,64.000,170.000
10.306,14.286,93.000,137.000,208.000
17.288,7.973,188.000,146.000,87.000
19.231,1.228,177.000,129.000,30.000
9.235,18.860,55.000,105.000,184.000
17.821,18.704,55.000,139.000,87.000
10.172,0.388,217.000,42.000,93.000
5.769,8.761,161.000,84.000,246.000
0.276,18.989,45.000,11.000,109.000
10.700,0.369,185.000,9.000,49.000
10.396,18.024,28.000,239.000,211.000
0.780,18.799,32.000,111.000,118.000
2.905,9.807,90.000,13.000,215.000
-0.272,18.843,17.000,36.000,9.000
18.694,8.727,221.000,196.000,45.000
0.641,18.630,80.000,111.000,20.000
13.132,10.196,143.000,233.000,218.000
-0.224,19.132,52.000,58.000,16.000
-0.231,0.940,236.000,2.000,232.000
9.091,8.767,159.000,142.000,199.000
2.327,-0.068,227.000,16.000,136.000
18.742,18.291,111.000,239.000,87.000
8.199,11.784,88.000,127.000,235.000
2.310,0.394,231.000,2.000,103.000
7.625,13.639,47.000,104.000,200.000
0.121,18.344,69.000,56.000,80.000
18.902,7.790,240.000,246.000,109.000
10.347,0.272,155.000,6.000,93.000
4.781,10.278,42.000,61.000,202.000
6.783,11.366,58.000,83.000,217.000
18.792,3.789,185.000,201.000,0.000
17.842,-0.128,192.000,131.000,45.000
18.058,14.084,156.000,251.000,175.000
8.828,1.811,200.000,96.000,147.000
12.739,16.748,104.000,187.000,196.000
0.986,8.062,111.000,67.000,231.000
13.335,-0.005,183.000,95.000,57.000
11.740,10.851,244.000,175.000,251.000
11.170,19.021,76.000,179.000,233.000
0.996,18.744,25.000,144.000,73.000
16.273,19.215,108.000,223.000,213.000
18.253,19.388,52.000,212.000,190.000
0.076,19.239,48.000,79.000,46.000
8.044,0.112,203.000,40.000,81.000
12.729,9.830,148.000,176.000,202.000
0.883,19.248,9.000,157.000,16.000
1.910,8.825,74.000,47.000,205.000
-0.099,19.172,75.000,125.000,24.000
-0.310,17.761,119.000,92.000,60.000
8.984,14.155,57.000,165.000,201.000
7.178,1.012,127.000,11.000,94.000
9.681,13.756,79.000,161.000,245.000
13.122,-0.073,134.000,70.000,47.000
0.690,18.626,98.000,174.000,69.000
19.047,5.858,195.000,194.000,76.000
11.808,3.979,160.000,113.000,95.000
19.288,1.687,186.000,178.000,11.000
0.843,8.695,17.000,50.000,151.000
-0.282,-0.349,225.000,46.000,225.000
0.874,8.206,81.000,46.000,191.000
18.775,11.177,187.000,251.000,148.000
0.164,18.799,67.000,199.000,3.000
0.034,10.081,11.000,38.000,47.000
8.312,-0.182,196.000,35.000,89.000
19.284,18.967,92.000,229.000,157.000
19.160,1.762,237.000,193.000,22.000
19.340,10.740,213.000,206.000,155.000
19.241,1.001,198.000,164.000,34.000
18.678,12.391,184.000,228.000,151.000
0.023,8.263,36.000,37.000,215.000
4.720,0.292,146.000,12.000,143.000
10.209,8.709,247.000,113.000,243.000
-0.106,5.304,81.000,33.000,129.000
17.612,18.761,123.000,214.000,169.000
14.622,0.229,140.000,102.000,0.000
9.643,8.719,235.000,98.000,188.000
19.151,7.641,202.000,190.000,112.000
-0.072,10.358,72.000,13.000,89.000
19.004,17.986,140.000,235.000,176.000
3.948,19.209,71.000,147.000,47.000
9.882,11.215,167.000,139.000,241.000
0.327,17.357,89.000,78.000,64.000
13.962,-0.035,178.000,79.000,30.000
11.057,0.305,219.000,26.000,23.000
19.031,15.020,125.000,249.000,58.000
5.679,0.076,167.000,30.000,21.000
4.379,19.173,81.000,150.000,49.000
-0.141,9.052,63.000,51.000,174.000
19.092,9.033,199.000,231.000,141.000
-0.349,18.636,104.000,125.000,12.000
18.703,0.715,189.000,191.000,6.000
8.711,0.133,212.000,13.000,58.000
-0.011,9.185,32.000,61.000,195.000
12.212,19.328,11.000,235.000,147.000
0.242,19.153,122.000,101.000,34.000
19.340,9.153,190.000,238.000,97.000
8.199,10.385,126.000,84.000,202.000
3.980,18.816,19.000,138.000,63.000
12.101,19.175,3.000,249.000,63.000
11.870,19.293,21.000,213.000,78.000
